filename, language, JavaScript, JSON, CSS, SCSS, JavaScript React, HTML, TypeScript React, TypeScript, comment, blank, total
dev\json\filter.json, JSON, 0, 822, 0, 0, 0, 0, 0, 0, 0, 1, 823
dev\json\food.json, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
dev\json\head.json, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
dev\json\list.json, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
dev\json\listparams.json, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
dev\json\orders.json, JSON, 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 425
dev\static\rem.js, JavaScript, 9, 0, 0, 0, 0, 0, 0, 0, 1, 5, 15
dev\static\reset.css, CSS, 0, 0, 45, 0, 0, 0, 0, 0, 1, 1, 47
package.json, JSON, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
src\components\ListView\index.jsx, JavaScript React, 0, 0, 0, 0, 67, 0, 0, 0, 11, 9, 87
src\components\ListView\index.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src\components\NavHeader\index.jsx, JavaScript React, 0, 0, 0, 0, 12, 0, 0, 0, 6, 1, 19
src\components\NavHeader\index.scss, SCSS, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
src\components\StarScore\index.jsx, JavaScript React, 0, 0, 0, 0, 36, 0, 0, 0, 4, 4, 44
src\components\StarScore\index.scss, SCSS, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
src\components\common.scss, SCSS, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
src\constant.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
src\defaultSetting.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
src\json\head.json, JSON, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
src\page\category\Body\index.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src\page\category\Body\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
src\page\category\Body\memo.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
src\page\category\ContentList\index.scss, SCSS, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 87
src\page\category\ContentList\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 141, 0, 4, 9, 154
src\page\category\ContentList\interface.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
src\page\category\Header\index.jsx, JavaScript React, 0, 0, 0, 0, 174, 0, 0, 0, 0, 15, 189
src\page\category\Header\index.scss, SCSS, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 140
src\page\category\Main\Main.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
src\page\category\Main\index.scss, SCSS, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
src\page\category\Main\interface.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
src\page\category\category.html, HTML, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
src\page\category\config.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
src\page\category\index.js, JavaScript, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
src\page\category\reducers\headerReducer.js, JavaScript, 53, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
src\page\category\reducers\main.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
src\page\category\reducers\tabReducer.js, JavaScript, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
src\page\category\store.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
src\page\detail\BottomBar\index.scss, SCSS, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 55
src\page\detail\BottomBar\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
src\page\detail\Content\index.scss, SCSS, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
src\page\detail\Content\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 33
src\page\detail\DealerTab\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
src\page\detail\EvaluateTab\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
src\page\detail\Main\Main.scss, SCSS, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
src\page\detail\Main\Main.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 14, 0, 1, 2, 17
src\page\detail\OrderTab\ProductList\index.scss, SCSS, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 75
src\page\detail\OrderTab\ProductList\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 77, 0, 5, 7, 89
src\page\detail\OrderTab\ProductList\interface.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
src\page\detail\OrderTab\index.scss, SCSS, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 33
src\page\detail\OrderTab\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 77, 0, 0, 7, 84
src\page\detail\detail.html, HTML, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
src\page\detail\index.js, JavaScript, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
src\page\detail\reducers\main.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
src\page\detail\reducers\tabReducer.js, JavaScript, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
src\page\detail\store.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
src\page\evaluation\Main\Container.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
src\page\evaluation\Main\index.scss, SCSS, 0, 0, 0, 74, 0, 0, 0, 0, 0, 7, 81
src\page\evaluation\Main\index.tsx, TypeScript React, 0, 0, 0, 0, 0, 0, 63, 0, 12, 4, 79
src\page\evaluation\evaluation.html, HTML, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
src\page\evaluation\index.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
src\page\index\BottomBar\index.jsx, JavaScript React, 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
src\page\index\BottomBar\index.scss, SCSS, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 61
src\page\index\Home\Category\Category.jsx, JavaScript React, 0, 0, 0, 0, 44, 0, 0, 0, 5, 6, 55
src\page\index\Home\Category\Category.scss, SCSS, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
src\page\index\Home\ContentList\index.jsx, JavaScript React, 0, 0, 0, 0, 114, 0, 0, 0, 4, 6, 124
src\page\index\Home\ContentList\index.scss, SCSS, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 73
