Date : 2019-09-25 16:45:04
Directory : c:\WORK\whrd\webapp-meituan
Total : 88 files,  3968 codes, 87 comments, 209 blanks, all 4264 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          8 |      1,317 |          0 |          4 |      1,321 |
| SCSS             |         22 |        898 |          0 |         16 |        914 |
| JavaScript React |         14 |        751 |         53 |         77 |        881 |
| TypeScript React |         13 |        523 |         23 |         51 |        597 |
| JavaScript       |         22 |        315 |          9 |         56 |        380 |
| CSS              |          2 |         90 |          2 |          2 |         94 |
| HTML             |          4 |         62 |          0 |          0 |         62 |
| TypeScript       |          3 |         12 |          0 |          3 |         15 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------+------------+------------+------------+------------+------------+
| path                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                 |         88 |      3,968 |         87 |        209 |      4,264 |
| src                                               |         77 |      2,495 |         80 |        194 |      2,769 |
| src\page                                          |         65 |      2,284 |         57 |        172 |      2,513 |
| dev                                               |          8 |      1,305 |          2 |          8 |      1,315 |
| dev\json                                          |          6 |      1,251 |          0 |          2 |      1,253 |
| src\page\index                                    |         24 |        911 |         34 |         68 |      1,013 |
| src\page\category                                 |         18 |        723 |          5 |         53 |        781 |
| src\page\detail                                   |         18 |        484 |          6 |         35 |        525 |
| src\page\index\Home                               |          9 |        362 |         17 |         22 |        401 |
| src\page\category\Header                          |          2 |        314 |          0 |         15 |        329 |
| src\page\detail\OrderTab                          |          5 |        265 |          5 |         15 |        285 |
| src\page\category\ContentList                     |          3 |        231 |          4 |         10 |        245 |
| src\page\index\Order                              |          2 |        212 |         11 |         13 |        236 |
| src\page\index\Home\ContentList                   |          2 |        187 |          4 |          6 |        197 |
| src\page\evaluation                               |          5 |        166 |         12 |         16 |        194 |
| src\page\detail\OrderTab\ProductList              |          3 |        155 |          5 |          8 |        168 |
| src\components                                    |          7 |        150 |         21 |         15 |        186 |
| src\page\evaluation\Main                          |          3 |        146 |         12 |         13 |        171 |
| src\page\index\BottomBar                          |          2 |        101 |          0 |          6 |        107 |
| src\page\index\My                                 |          2 |         91 |          4 |          4 |         99 |
| src\page\index\Home\SearchBar                     |          2 |         88 |          4 |          4 |         96 |
| src\page\detail\BottomBar                         |          2 |         78 |          0 |          1 |         79 |
| src\components\ListView                           |          2 |         67 |         11 |         10 |         88 |
| src\page\index\Main                               |          3 |         63 |          0 |          8 |         71 |
| src\page\category\reducers                        |          3 |         60 |          0 |          8 |         68 |
| src\page\index\Home\Category                      |          2 |         57 |          5 |          7 |         69 |
| dev\static                                        |          2 |         54 |          2 |          6 |         62 |
| src\static                                        |          2 |         54 |          2 |          6 |         62 |
| src\page\detail\Content                           |          2 |         52 |          0 |          3 |         55 |
| src\page\category\Main                            |          3 |         47 |          0 |          6 |         53 |
| src\components\StarScore                          |          2 |         45 |          4 |          4 |         53 |
| src\components\NavHeader                          |          2 |         34 |          6 |          1 |         41 |
| src\page\category\Body                            |          3 |         34 |          1 |          9 |         44 |
| src\page\index\reducers                           |          2 |         29 |          0 |          7 |         36 |
| src\page\index\Home\Header                        |          2 |         21 |          4 |          3 |         28 |
| src\page\detail\reducers                          |          2 |         21 |          0 |          4 |         25 |
| src\page\detail\Main                              |          2 |         18 |          1 |          3 |         22 |
| src\page\detail\EvaluateTab                       |          1 |         10 |          0 |          2 |         12 |
| src\page\detail\DealerTab                         |          1 |         10 |          0 |          2 |         12 |
| src\json                                          |          1 |          1 |          0 |          1 |          2 |
+---------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                          | language         | code       | comment    | blank      | total      |
+---------------------------------------------------+------------------+------------+------------+------------+------------+
| dev\json\filter.json                              | JSON             |        822 |          0 |          1 |        823 |
| dev\json\food.json                                | JSON             |          1 |          0 |          0 |          1 |
| dev\json\head.json                                | JSON             |          1 |          0 |          1 |          2 |
| dev\json\list.json                                | JSON             |          1 |          0 |          0 |          1 |
| dev\json\listparams.json                          | JSON             |          1 |          0 |          0 |          1 |
| dev\json\orders.json                              | JSON             |        425 |          0 |          0 |        425 |
| dev\static\rem.js                                 | JavaScript       |          9 |          1 |          5 |         15 |
| dev\static\reset.css                              | CSS              |         45 |          1 |          1 |         47 |
| package.json                                      | JSON             |         65 |          0 |          1 |         66 |
| src\components\ListView\index.jsx                 | JavaScript React |         67 |         11 |          9 |         87 |
| src\components\ListView\index.scss                | SCSS             |          0 |          0 |          1 |          1 |
| src\components\NavHeader\index.jsx                | JavaScript React |         12 |          6 |          1 |         19 |
| src\components\NavHeader\index.scss               | SCSS             |         22 |          0 |          0 |         22 |
| src\components\StarScore\index.jsx                | JavaScript React |         36 |          4 |          4 |         44 |
| src\components\StarScore\index.scss               | SCSS             |          9 |          0 |          0 |          9 |
| src\components\common.scss                        | SCSS             |          4 |          0 |          0 |          4 |
| src\constant.js                                   | JavaScript       |          3 |          0 |          0 |          3 |
| src\defaultSetting.js                             | JavaScript       |          3 |          0 |          0 |          3 |
| src\json\head.json                                | JSON             |          1 |          0 |          1 |          2 |
| src\page\category\Body\index.scss                 | SCSS             |          0 |          0 |          1 |          1 |
| src\page\category\Body\index.tsx                  | TypeScript React |         17 |          1 |          4 |         22 |
| src\page\category\Body\memo.tsx                   | TypeScript React |         17 |          0 |          4 |         21 |
| src\page\category\ContentList\index.scss          | SCSS             |         87 |          0 |          0 |         87 |
| src\page\category\ContentList\index.tsx           | TypeScript React |        141 |          4 |          9 |        154 |
| src\page\category\ContentList\interface.ts        | TypeScript       |          3 |          0 |          1 |          4 |
| src\page\category\Header\index.jsx                | JavaScript React |        174 |          0 |         15 |        189 |
| src\page\category\Header\index.scss               | SCSS             |        140 |          0 |          0 |        140 |
| src\page\category\Main\Main.tsx                   | TypeScript React |         34 |          0 |          5 |         39 |
| src\page\category\Main\index.scss                 | SCSS             |          7 |          0 |          0 |          7 |
| src\page\category\Main\interface.ts               | TypeScript       |          6 |          0 |          1 |          7 |
| src\page\category\category.html                   | HTML             |         18 |          0 |          0 |         18 |
| src\page\category\config.js                       | JavaScript       |          7 |          0 |          0 |          7 |
| src\page\category\index.js                        | JavaScript       |          9 |          0 |          3 |         12 |
| src\page\category\reducers\headerReducer.js       | JavaScript       |         53 |          0 |          5 |         58 |
| src\page\category\reducers\main.js                | JavaScript       |          5 |          0 |          2 |          7 |
| src\page\category\reducers\tabReducer.js          | JavaScript       |          2 |          0 |          1 |          3 |
| src\page\category\store.js                        | JavaScript       |          3 |          0 |          2 |          5 |
| src\page\detail\BottomBar\index.scss              | SCSS             |         55 |          0 |          0 |         55 |
| src\page\detail\BottomBar\index.tsx               | TypeScript React |         23 |          0 |          1 |         24 |
| src\page\detail\Content\index.scss                | SCSS             |         21 |          0 |          1 |         22 |
| src\page\detail\Content\index.tsx                 | TypeScript React |         31 |          0 |          2 |         33 |
| src\page\detail\DealerTab\index.tsx               | TypeScript React |         10 |          0 |          2 |         12 |
| src\page\detail\EvaluateTab\index.tsx             | TypeScript React |         10 |          0 |          2 |         12 |
| src\page\detail\Main\Main.scss                    | SCSS             |          4 |          0 |          1 |          5 |
| src\page\detail\Main\Main.tsx                     | TypeScript React |         14 |          1 |          2 |         17 |
| src\page\detail\OrderTab\ProductList\index.scss   | SCSS             |         75 |          0 |          0 |         75 |
| src\page\detail\OrderTab\ProductList\index.tsx    | TypeScript React |         77 |          5 |          7 |         89 |
| src\page\detail\OrderTab\ProductList\interface.ts | TypeScript       |          3 |          0 |          1 |          4 |
| src\page\detail\OrderTab\index.scss               | SCSS             |         33 |          0 |          0 |         33 |
| src\page\detail\OrderTab\index.tsx                | TypeScript React |         77 |          0 |          7 |         84 |
| src\page\detail\detail.html                       | HTML             |         18 |          0 |          0 |         18 |
| src\page\detail\index.js                          | JavaScript       |          9 |          0 |          3 |         12 |
| src\page\detail\reducers\main.js                  | JavaScript       |          5 |          0 |          2 |          7 |
| src\page\detail\reducers\tabReducer.js            | JavaScript       |         16 |          0 |          2 |         18 |
| src\page\detail\store.js                          | JavaScript       |          3 |          0 |          2 |          5 |
| src\page\evaluation\Main\Container.tsx            | TypeScript React |          9 |          0 |          2 |         11 |
| src\page\evaluation\Main\index.scss               | SCSS             |         74 |          0 |          7 |         81 |
| src\page\evaluation\Main\index.tsx                | TypeScript React |         63 |         12 |          4 |         79 |
| src\page\evaluation\evaluation.html               | HTML             |         13 |          0 |          0 |         13 |
| src\page\evaluation\index.js                      | JavaScript       |          7 |          0 |          3 |         10 |
| src\page\index\BottomBar\index.jsx                | JavaScript React |         40 |          0 |          6 |         46 |
| src\page\index\BottomBar\index.scss               | SCSS             |         61 |          0 |          0 |         61 |
| src\page\index\Home\Category\Category.jsx         | JavaScript React |         44 |          5 |          6 |         55 |
| src\page\index\Home\Category\Category.scss        | SCSS             |         13 |          0 |          1 |         14 |
| src\page\index\Home\ContentList\index.jsx         | JavaScript React |        114 |          4 |          6 |        124 |
